index,comment_sentence,labels,drop_reason
1,functionality.,[0 0 0 0 1],Token Count (1)
40,derive.,[0 0 0 0 1],Token Count (1)
63,4,[1 0 0 0 0],Too Tiny (<6 alpha)
111,label,[1 0 0 0 0],Too Tiny (<6 alpha)
112,% endfor %,[1 0 0 0 0],Token Count (1)
158,length.,[0 0 0 0 1],Token Count (1)
214,escaped.,[0 0 0 1 0],Token Count (1)
272,simon,[1 0 0 0 0],Too Tiny (<6 alpha)
356,tried,[0 1 0 0 0],Too Tiny (<6 alpha)
357,this,[0 1 0 0 0],Too Tiny (<6 alpha)
361,chain,[0 1 0 0 0],Too Tiny (<6 alpha)
374,password.,[0 1 0 0 1],Token Count (1)
410,dependent.,[0 1 0 0 0],Token Count (1)
491,must,[1 0 0 0 0],Too Tiny (<6 alpha)
496,initialization.,[1 0 0 0 0],Token Count (1)
526,do,[1 0 0 0 0],Too Tiny (<6 alpha)
542,accesserror,[1 0 0 0 0],Token Count (1)
546,"2, 123456",[1 0 0 0 0],Too Tiny (<6 alpha)
557,n,[1 0 0 0 0],Too Tiny (<6 alpha)
558,from,[1 0 0 0 0],Too Tiny (<6 alpha)
576,3,[0 1 0 1 0],Too Tiny (<6 alpha)
580,this,[0 0 0 1 0],Too Tiny (<6 alpha)
588,", int , 0 ,",[1 0 0 0 0],Too Tiny (<6 alpha)
590,", int, 99 ,",[1 0 0 0 0],Too Tiny (<6 alpha)
596,"x x , str, , ,",[1 0 0 0 0],Too Tiny (<6 alpha)
610,", vodka",[1 0 0 0 0],Too Tiny (<6 alpha)
612,0,[1 0 0 0 0],Too Tiny (<6 alpha)
618,123,[1 0 0 0 0],Too Tiny (<6 alpha)
666,TRUE,[1 0 0 0 0],Too Tiny (<6 alpha)
670,TRUE,[1 0 0 0 0],Too Tiny (<6 alpha)
683,u dude,[1 0 0 0 0],Too Tiny (<6 alpha)
685,TRUE,[1 0 0 0 0],Too Tiny (<6 alpha)
688,u guy,[1 0 0 0 0],Too Tiny (<6 alpha)
692,TRUE,[1 0 0 0 0],Too Tiny (<6 alpha)
706,interface,[0 0 0 0 1],Token Count (1)
757,categories,[0 0 0 1 0],Token Count (1)
758,ordered,[0 0 0 1 0],Token Count (1)
761,notes,[0 0 1 0 0],Too Tiny (<6 alpha)
771,1 b,[1 0 0 0 0],Too Tiny (<6 alpha)
773,3 nan,[1 0 0 0 0],Too Tiny (<6 alpha)
778,"also,",[0 0 0 1 0],Too Tiny (<6 alpha)
794,categorical.,[0 1 0 0 0],Token Count (1)
806,codes,[0 0 0 1 0],Too Tiny (<6 alpha)
808,ordered,[0 0 0 1 0],Token Count (1)
817,notes,[0 0 1 0 0],Too Tiny (<6 alpha)
833,c,[1 0 0 0 0],Too Tiny (<6 alpha)
890,"1, nan, 3",[1 0 0 0 0],Too Tiny (<6 alpha)
898,subtype,[0 0 0 1 0],Token Count (1)
989,detail.,[0 1 0 0 0],Token Count (1)
1010,notes,[0 0 1 0 0],Too Tiny (<6 alpha)
1019,center,[0 0 1 1 0],Token Count (1)
1023,n int,[0 1 0 0 0],Too Tiny (<6 alpha)
1037,warning,[0 1 0 0 0],Token Count (1)
1059,stringarray,[1 0 0 0 0],Token Count (1)
1061,values.,[1 0 0 0 0],Token Count (1)
1125,also,[0 0 0 0 1],Too Tiny (<6 alpha)
1207,statements.,[0 1 0 0 0],Token Count (1)
1224,n or r n .,[0 1 0 0 0],Too Tiny (<6 alpha)
1246,autoescape,[0 1 0 0 0],Token Count (1)
1248,default.,[0 1 0 0 0],Token Count (1)
1283,usage,[1 0 0 0 0],Too Tiny (<6 alpha)
1289,usage,[1 0 0 0 0],Too Tiny (<6 alpha)
1312,followedby,[1 0 1 0 1],Token Count (1)
1316,name.,[1 0 1 1 0],Too Tiny (<6 alpha)
1334,built.,[1 0 0 0 0],Too Tiny (<6 alpha)
1368,scale.,[0 0 1 0 0],Too Tiny (<6 alpha)
1373,safe.,[0 0 0 0 1],Too Tiny (<6 alpha)
1480,key.,[0 0 0 1 1],Too Tiny (<6 alpha)
1484,items.,[0 0 0 1 0],Too Tiny (<6 alpha)
1485,a,[0 0 0 1 0],Too Tiny (<6 alpha)
1490,key.,[0 0 0 1 1],Too Tiny (<6 alpha)
1515,iterlistitems,[1 0 0 0 0],Token Count (1)
1524,value.,[0 1 0 0 0],Too Tiny (<6 alpha)
1537,input.,[0 1 0 0 0],Too Tiny (<6 alpha)
1554,context.,[0 1 0 0 0],Token Count (1)
1606,day 31,[1 0 0 0 0],Too Tiny (<6 alpha)
1607,month 12,[1 0 0 0 0],Too Tiny (<6 alpha)
1608,year 1999,[1 0 0 0 0],Too Tiny (<6 alpha)
1626,it,[0 1 0 0 0],Too Tiny (<6 alpha)
1642,explicitly.,[0 1 0 0 0],Token Count (1)
1732,loops.,[0 1 0 0 0],Too Tiny (<6 alpha)
1734,308,[0 1 0 0 0],Too Tiny (<6 alpha)
1756,delay .,[0 1 0 0 0],Too Tiny (<6 alpha)
1759,seconds.,[0 1 0 0 0],Token Count (1)
1784,request.,[0 1 0 0 0],Token Count (1)
1788,validator.,[0 0 0 0 1],Token Count (1)
1828,prints,[1 0 0 0 0],Token Count (1)
1863,to,[1 0 1 0 0],Too Tiny (<6 alpha)
1883,3,[1 0 1 0 0],Too Tiny (<6 alpha)
1891,arguments,[0 1 0 0 0],Token Count (1)
1903,arguments,[0 1 0 0 0],Token Count (1)
1922,arguments,[0 1 0 0 0],Token Count (1)
1987,computation.,[0 1 0 0 0],Token Count (1)
2009,class.,[0 0 0 0 1],Too Tiny (<6 alpha)
2093,arguments,[0 1 0 0 0],Token Count (1)
2119,planes.,[0 0 0 0 1],Token Count (1)
2137,concatenated.,[0 0 0 0 1],Token Count (1)
2225,the,[0 0 0 1 0],Too Tiny (<6 alpha)
2234,operations.,[0 0 1 0 0],Token Count (1)
2277,"therefore,",[0 0 0 1 0],Token Count (1)
2296,"11306, 25798, 10044",[1 0 0 0 0],Too Tiny (<6 alpha)
2303,executed.,[1 0 0 0 0],Token Count (1)
2323,arguments,[0 1 0 0 0],Token Count (1)
2344,init,[1 0 0 0 0],Too Tiny (<6 alpha)
2369,ignored,[0 1 0 0 0],Token Count (1)
2428,modules.,[0 0 0 0 1],Token Count (1)
2433,similarly,[0 0 0 1 0],Token Count (1)
