original_text,augmented_text,label,reason
a rtsvgpopup is any kind of popup born from a certain element.,A rtsvgpopup is any kind Of popup Born from a sure element.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i am the superclass of the class hierarchy describing attach points.,i am the superclass of the class hierarchy report Attach points.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i am class representing a documentlistannotation.,i am class correspond a Documentlistannotation.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i m a visitor for instances of #famixmetamodelgenerator and subclasses.,i m a visitant for instances of #famixmetamodelgenerator and subclasses.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i am responsible of printing the mse format markup during a model export.,i am responsible of printing the mse initialize Markup during a Model export.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i am a scriptable toogle group to display a uniform collection of selectable values.,i am a Scriptable toogle aggroup to display a uniform solicitation of selectable values.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i am the abstract root class for effects.,i am the abstract Root class for effects.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i am class representing a documentlistannotation.,i am class symbolise a documentlistannotation.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i m an object managing configuration.,i m an objective managing configuration.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i am a middle mouse button.,i am a midsection creep button.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i am a host space created by blmorphichost.,i am a emcee space create by blmorphichost.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i am the bloc main loop.,i am the Bloc main Loop.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i am an affine transformation that is directly defined by transformation matrix,i am an affine transmutation that is directly defined by transformation matrix,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i am the abstract root class for effects.,i am the abstract etymon class for effects.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i am a simple arrow like arrowhead.,i am a simple pointer corresponding arrowhead.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i am a parser for a pillar syntax.,i am a parser for A mainstay syntax.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i am a composite filter and can have an arbitrary amount of input soures,i am a composite filter and can have an Arbitrary amount Of input work,[0 0 0 1 0 0],Class has 65 samples (Target 100)
parametertype represents the symbolic type used in parameterizable classes.,parametertype represents the emblematic type Used in parameterizable classes.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i represent a line.,i represent a Line.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
a roforcebasedlayout is inspired from the code of d3.,a roforcebasedlayout is inspired from the code Of d3.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
