index,labels,comment_sentence,comment_clean,combo,combo_clean
0,"[0, 0, 1, 0, 0, 0]",relative anchor takes an arbitrary element as a reference an compute its position based on properties of that element.,relative anchor take arbitrary element reference compute position based property element,relative anchor takes an arbitrary element as a reference an compute its position based on properties of that element. | BlAnchorRelativeToElement,relative anchor take arbitrary element reference compute position based property element | blanchorrelativetoelement
1,"[0, 0, 0, 1, 0, 0]",i am a simple arrow like arrowhead.,simple arrow like arrowhead,i am a simple arrow like arrowhead. | BlArrowheadSimpleArrow,simple arrow like arrowhead | blarrowheadsimplearrow
2,"[0, 0, 0, 1, 0, 0]",both my size and arrow length depend on the curve width.,size arrow length depend curve width,both my size and arrow length depend on the curve width. | BlArrowheadSimpleArrow,size arrow length depend curve width | blarrowheadsimplearrow
3,"[0, 0, 0, 0, 1, 0]",it is possible hovewer to customize a length fraction how long should be the outer arrow compared to the length of the side of a nose triangle.,possible hovewer customize length fraction long outer arrow compared length side nose triangle,it is possible hovewer to customize a length fraction how long should be the outer arrow compared to the length of the side of a nose triangle. | BlArrowheadSimpleArrow,possible hovewer customize length fraction long outer arrow compared length side nose triangle | blarrowheadsimplearrow
4,"[0, 0, 0, 1, 0, 0]",i am a triangular arrow head.,triangular arrow head,i am a triangular arrow head. | BlArrowheadTriangle,triangular arrow head | blarrowheadtriangle
5,"[1, 0, 0, 0, 0, 0]",it is possible to have a border around triangle by specifying a border width of a triangle arrowhead.,possible border around triangle specifying border width triangle arrowhead,it is possible to have a border around triangle by specifying a border width of a triangle arrowhead. | BlArrowheadTriangle,possible border around triangle specifying border width triangle arrowhead | blarrowheadtriangle
6,"[0, 0, 1, 0, 0, 0]",for solid arrowhead make background paint be the same as border paint.,solid arrowhead make background paint border paint,for solid arrowhead make background paint be the same as border paint. | BlArrowheadTriangle,solid arrowhead make background paint border paint | blarrowheadtriangle
7,"[0, 1, 0, 0, 0, 0]",blchicken open,blchicken open,blchicken open | BlChicken,blchicken open | blchicken
8,"[0, 0, 1, 0, 0, 0]",i provide a data structure independent api for adding and removing children.,provide data structure independent api adding removing child,i provide a data structure independent api for adding and removing children. | BlChildrenCollection,provide data structure independent api adding removing child | blchildrencollection
9,"[0, 0, 1, 0, 0, 0]",i allow elements to optimize working with children for different scenarious.,allow element optimize working child different scenarious,i allow elements to optimize working with children for different scenarious. | BlChildrenCollection,allow element optimize working child different scenarious | blchildrencollection
10,"[0, 0, 1, 0, 0, 0]","a rope uses a balanced binary tree to support fast adding, removing and accessing, with the disadvantage of taking more memory.",rope us balanced binary tree support fast adding removing accessing disadvantage taking memory,"a rope uses a balanced binary tree to support fast adding, removing and accessing, with the disadvantage of taking more memory. | BlChildrenCollection",rope us balanced binary tree support fast adding removing accessing disadvantage taking memory | blchildrencollection
11,"[0, 0, 1, 0, 0, 0]",i capture a subset of children from a class blelement instance.,capture subset child class blelement instance,i capture a subset of children from a class blelement instance. | BlChildrenSubset,capture subset child class blelement instance | blchildrensubset
12,"[0, 0, 0, 1, 0, 0]",i am an abstract class.,abstract class,i am an abstract class. | BlChildrenSubset,abstract class | blchildrensubset
13,"[0, 0, 1, 0, 0, 0]",i exist to explicitly capture and combine various ways of filtering and iterating over children.,exist explicitly capture combine various way filtering iterating child,i exist to explicitly capture and combine various ways of filtering and iterating over children. | BlChildrenSubset,exist explicitly capture combine various way filtering iterating child | blchildrensubset
14,"[0, 0, 0, 0, 1, 0]",i do not enforce a lazy api.,enforce lazy api,i do not enforce a lazy api. | BlChildrenSubset,enforce lazy api | blchildrensubset
15,"[0, 0, 0, 0, 1, 0]",instances of me are created by calling the factory method method blchildrensubset class #on on a subclass with an instance of class blchildren as parameter.,instance created calling factory method method blchildrensubset class subclass instance class blchildren parameter,instances of me are created by calling the factory method method blchildrensubset class #on on a subclass with an instance of class blchildren as parameter. | BlChildrenSubset,instance created calling factory method method blchildrensubset class subclass instance class blchildren parameter | blchildrensubset
16,"[1, 0, 0, 0, 0, 0]",implementation details,implementation detail,implementation details | BlChildrenSubset,implementation detail | blchildrensubset
17,"[1, 0, 1, 0, 0, 0]",the click event is fired when a pointing device button a mouse s primary button is pressed and released on a single element.,click event fired pointing device button mouse primary button pressed released single element,the click event is fired when a pointing device button a mouse s primary button is pressed and released on a single element. | BlClickEvent,click event fired pointing device button mouse primary button pressed released single element | blclickevent
18,"[1, 0, 0, 0, 0, 0]",the order of fired events,order fired event,the order of fired events | BlClickEvent,order fired event | blclickevent
19,"[1, 0, 0, 0, 0, 0]",mouse up,mouse,mouse up | BlClickEvent,mouse | blclickevent
20,"[0, 0, 1, 0, 0, 0]",this class contains tests,class contains test,this class contains tests | BlCompulsoryCombinationTest,class contains test | blcompulsorycombinationtest
21,"[1, 0, 0, 0, 0, 0]",setting factor to 10f produces an upside down y x^2 parabola.,setting factor f produce upside x parabola,setting factor to 10f produces an upside down y x^2 parabola. | BlDecelerateInterpolator,setting factor f produce upside x parabola | bldecelerateinterpolator
22,"[1, 0, 0, 0, 0, 0]",my formula is,formula,my formula is | BlDecelerateInterpolator,formula | bldecelerateinterpolator
23,"[0, 1, 0, 0, 0, 0]",here you can see how to configure a fire and check a click event on a child element,see configure fire check click event child element,here you can see how to configure a fire and check a click event on a child element | BlDevScripterClickStep,see configure fire check click event child element | bldevscripterclickstep
24,"[0, 0, 1, 0, 0, 0]",drag delegate provides drag items when a visual element lifts.,drag delegate provides drag item visual element lift,drag delegate provides drag items when a visual element lifts. | BlDragDelegate,drag delegate provides drag item visual element lift | bldragdelegate
25,"[0, 0, 1, 0, 0, 0]",drag gesture fails if there are no drag items,drag gesture fails drag item,drag gesture fails if there are no drag items | BlDragDelegate,drag gesture fails drag item | bldragdelegate
26,"[0, 0, 1, 0, 0, 0]",i contain examples of element bounds api,contain example element bound api,i contain examples of element bounds api | BlElementBoundsExamples,contain example element bound api | blelementboundsexamples
27,"[0, 0, 1, 1, 0, 0]",i am dynamic element transformation in the sense that my transformation matrix may actually depend on some element properties such as #extent or #position.,dynamic element transformation sense transformation matrix may actually depend element property extent position,i am dynamic element transformation in the sense that my transformation matrix may actually depend on some element properties such as #extent or #position. | BlElementDynamicTransformation,dynamic element transformation sense transformation matrix may actually depend element property extent position | blelementdynamictransformation
28,"[1, 0, 0, 0, 0, 0]",it means that matrix computation is performed only when requested taking owner element into account.,mean matrix computation performed requested taking owner element account,it means that matrix computation is performed only when requested taking owner element into account. | BlElementDynamicTransformation,mean matrix computation performed requested taking owner element account | blelementdynamictransformation
29,"[0, 0, 0, 1, 0, 0]",i am the abstract root class for effects.,abstract root class effect,i am the abstract root class for effects. | BlElementEffect,abstract root class effect | blelementeffect
30,"[0, 0, 1, 0, 0, 0]",i define the default drawing strategy before & after .,define default drawing strategy,i define the default drawing strategy before & after . | BlElementEffect,define default drawing strategy | blelementeffect
31,"[0, 0, 1, 0, 0, 0]",i can influence the bounds of my owner used to clip my owner .,influence bound owner used clip owner,i can influence the bounds of my owner used to clip my owner . | BlElementEffect,influence bound owner used clip owner | blelementeffect
32,"[0, 0, 1, 0, 0, 0]",i contain examples of position change logging functionality,contain example position change logging functionality,i contain examples of position change logging functionality | BlElementPositionChangeTest,contain example position change logging functionality | blelementpositionchangetest
33,"[0, 0, 0, 0, 0, 1]",is sent by an element after it is removed from the parent.,sent element removed parent,is sent by an element after it is removed from the parent. | BlElementRemovedEvent,sent element removed parent | blelementremovedevent
34,"[0, 1, 0, 0, 0, 0]",child when blelementremovedevent do self inform removed from parent .,child blelementremovedevent self inform removed parent,child when blelementremovedevent do self inform removed from parent . | BlElementRemovedEvent,child blelementremovedevent self inform removed parent | blelementremovedevent
35,"[0, 1, 0, 0, 0, 0]",parent blelement new.,parent blelement new,parent blelement new. | BlElementRemovedEvent,parent blelement new | blelementremovedevent
36,"[0, 1, 0, 0, 0, 0]",parent addchild child.,parent addchild child,parent addchild child. | BlElementRemovedEvent,parent addchild child | blelementremovedevent
37,"[0, 0, 1, 1, 0, 0]",i am an example of a custom non element event target that can be nicely integrated in bloc infrastructure,example custom non element event target nicely integrated bloc infrastructure,i am an example of a custom non element event target that can be nicely integrated in bloc infrastructure | BlExampleCustomEventTarget,example custom non element event target nicely integrated bloc infrastructure | blexamplecustomeventtarget
38,"[0, 0, 1, 1, 0, 0]",i am an element with a broken onlayout method that throws error subscriptoutofbounds,element broken onlayout method throw error subscriptoutofbounds,i am an element with a broken onlayout method that throws error subscriptoutofbounds | BlExampleElementWithBrokenOnLayout,element broken onlayout method throw error subscriptoutofbounds | blexampleelementwithbrokenonlayout
39,"[0, 0, 1, 0, 0, 0]",i contain experimental examples that only work in manually prepared laboratory environments.,contain experimental example work manually prepared laboratory environment,i contain experimental examples that only work in manually prepared laboratory environments. | BlExperimentalExamples,contain experimental example work manually prepared laboratory environment | blexperimentalexamples
40,"[0, 1, 0, 0, 0, 0]",1 inspect run example,inspect run example,1 inspect run example | BlFocusExamples,inspect run example | blfocusexamples
41,"[0, 1, 0, 0, 0, 0]",2 click one any cell to give it a focus blue border should appear,click one cell give focus blue border appear,2 click one any cell to give it a focus blue border should appear | BlFocusExamples,click one cell give focus blue border appear | blfocusexamples
42,"[0, 0, 1, 0, 0, 1]",the geometry is used to define the geometry to be drawn and the interaction area.,geometry used define geometry drawn interaction area,the geometry is used to define the geometry to be drawn and the interaction area. | BlGeometry,geometry used define geometry drawn interaction area | blgeometry
