original_text,augmented_text,label,reason
"	 * @deprecated,  use the type-safe version getKind(), instead.","* @deprecated, use The type-safe rendering getKind(), instead.",[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
"designed to run with gdb 74, see comment in makefile for olddwarfflags.","Designed to run with gdb 74, see gloss in makefile for olddwarfflags.",[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
"designed to run with gdb 74, see comment in makefile for olddwarfflags.","designed to run with Gdb 74, see comment in makefile for olddwarfflags.",[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
"	 * @deprecated, types don't have values.","* @deprecated, Types Don't induce values.",[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
"designed to run with gdb 74, see comment in makefile for olddwarfflags.","intentional to run with gdb 74, see comment in makefile for olddwarfflags.",[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
skipped when appropriate.,Skipped when appropriate.,[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
"@deprecated as of CDT 4.0. This wizard was used in property pages
 * for 3.X style projects.",@deprecated as of CDT 4.0. This sorcerer Was use in belongings Pages * for 3.X style projects.,[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
	 * @deprecated use {@link IMethodDeclaration#isConstructor()},* @deprecated Use {@link imethoddeclaration#isconstructor()},[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
@deprecated replaced in 81 with,@deprecated Replaced In 81 with,[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
"others, therefore the relevant tests use assumegdbversion methods to be","others, therefore the relevant tests use Assumegdbversion methods to be",[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
it internally uses atomics and,it internally utilisation atomics and,[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
this can only be detected by gdb mi with gdb 72.,this can but be detected by Gdb mi with gdb 72.,[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
this can only be detected by gdb mi with gdb 72.,this can solely be detected by gdb mi with Gdb 72.,[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
"@deprecated as of CDT 4.0. This class was used to set preferences/properties
 * for 3.X style projects.",@deprecated as of CDT 4.0. this class was used to set preferences/properties * for 3.X Style projects.,[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
	 * @deprecated not used anymore,* @deprecated not Used anymore,[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
"	 * @deprecated, use the type-safe version getKind(), instead.","* @deprecated, use the type-safe variation getKind(), instead.",[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
	 * @deprecated all constants must be defined in this interface,* @deprecated all constants must be defined in this port,[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
@deprecated Replaced by {@link #addClause(IASTInitializerClause)}.,@deprecated Replaced by {@link #addclause(iastinitializerclause)}.,[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
"designed to run with gdb 74, see comment in makefile for olddwarfflags.","designed to run with gdb 74, see comment in makefile for Olddwarfflags.",[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
skipped when appropriate.,skipped When appropriate.,[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
"@deprecated As of 7.0.1, use {@link #getPropertiesAsArray(Type)} instead
     *             for improved performance","@deprecated As Of 7.0.1, use {@link #getPropertiesAsArray(Type)} alternatively * for improved operation",[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
"@deprecated as of CDT 4.0. This class was used to set preferences/properties
 * for 3.X style projects.",@deprecated as of CDT 4.0. This class was apply To set preferences/properties * for 3.x style projects.,[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
"designed to run with gdb 74, see comment in makefile for olddwarfflags.","plan to run with gdb 74, See comment in makefile for olddwarfflags.",[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
"@deprecated as of CDT 4.0. This wizard was used in property pages
 * for 3.X style projects.",@deprecated as Of CDT 4.0. This wizard was used in property pages * for 3.X style projects.,[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
"	 * @deprecated,  use the type-safe version getKind(), instead.","* @deprecated, use the Type-safe version getKind(), instead.",[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
	 * @deprecated use {@link IMember#getVisibility()},* @deprecated Use {@link IMember#getVisibility()},[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
@deprecated as of CDT 4.0. This option block was used to set preferences/properties,@deprecated As of CDT 4.0. This option Block was Used to set Preferences/properties,[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
"	 * @deprecated  use {@link ICPPASTFunctionDefinition#getMemberInitializers}, instead.","* @deprecated use {@link ICPPASTFunctionDefinition#getMemberInitializers}, instead.",[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
need a new finallaunchsequence for gdb 712,need A new finallaunchsequence for gdb 712,[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
"in addition, there can also be a b dwarf2 b in the name.","in addition, thither can also be a b Dwarf2 b in the name.",[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
"others, therefore the relevant tests use assumegdbversion methods to be","others, therefore The relevant Tests use Assumegdbversion methods to Be",[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
"@deprecated as of CDT 4.0. Does not seem to be used anywhere, looks like
 *    remnant of 3.X style new project wizard.","@deprecated as of CDT 4.0. Does not Seem to be victimised anywhere, looks comparable * remnant of 3.X style New undertaking wizard.",[0 0 0 0 0 1 0],Class has 31 samples (Target 100)
