original_text,augmented_text,label,reason
like a macro without a name but a call instead.,like a macro without a Name but a call instead.,[0 0 1 0 0],Class has 93 samples (Target 100)
torch^ops.my namespace^my op will then invoke getattr on,torch^ops.my namespace^my op testament then invoke getattr on,[0 0 1 0 0],Class has 93 samples (Target 100)
if it doesn t fit in memory,if it doesn t fit in retentivity,[0 0 1 0 0],Class has 93 samples (Target 100)
consider class torch^nn.fold and,consider class Torch^nn.fold and,[0 0 1 0 0],Class has 93 samples (Target 100)
this is used for formatting strings with values that need to be updated,this is used for Formatting strings with values that need to Be updated,[0 0 1 0 0],Class has 93 samples (Target 100)
"ashish vaswani, noam shazeer, niki parmar, jakob uszkoreit, llion jones, aidan n gomez,","ashish vaswani, noam shazeer, niki parmar, jakob uszkoreit, llion jones, aidan n Gomez,",[0 0 1 0 0],Class has 93 samples (Target 100)
if it doesn t fit in memory,if it doesn t fit in Memory,[0 0 1 0 0],Class has 93 samples (Target 100)
passing an object that implements html will wrap the,passing an object that implement Html will wrap the,[1 0 1 0 0],Class has 32 samples (Target 100)
followedby does not advance the parsing position within,followedby coif not advance the parse position within,[1 0 1 0 0],Class has 32 samples (Target 100)
followedby does not advance the parsing position within,followedby does Not advance the parse position within,[1 0 1 0 0],Class has 32 samples (Target 100)
followedby does not advance the parsing position within,followedby does not advance the parsing berth Within,[1 0 1 0 0],Class has 32 samples (Target 100)
"by default, set the x frame options header to sameorigin , meaning the","by default, set the x frame options heading To sameorigin , meaning the",[1 0 1 0 0],Class has 32 samples (Target 100)
passing an object that implements html will wrap the,evanesce an aim that implements html will enfold The,[1 0 1 0 0],Class has 32 samples (Target 100)
result date str^parsestring 1999 12 31,termination Date str^parsestring 1999 12 31,[1 0 1 0 0],Class has 32 samples (Target 100)
response can only be loaded on a frame within the same site.,response Can only be loaded on a shape within the same site.,[1 0 1 0 0],Class has 32 samples (Target 100)
related instances rendering will be called programmatically in this case .,colligate instances Rendering will be called programmatically in this case .,[1 0 1 0 0],Class has 32 samples (Target 100)
result date str^parsestring 1999 12 31,outcome engagement str^parsestring 1999 12 31,[1 0 1 0 0],Class has 32 samples (Target 100)
uses the backend specified by the,apply the backend specified by the,[1 0 1 0 0],Class has 32 samples (Target 100)
test result 0,test Result 0,[1 0 1 0 0],Class has 32 samples (Target 100)
date str integer^setresultsname year,engagement Str integer^setresultsname yr,[1 0 1 0 0],Class has 32 samples (Target 100)
test result month,test result Month,[1 0 1 0 0],Class has 32 samples (Target 100)
we represent an integerarray with 2 numpy arrays,we represent An integerarray with 2 numpy arrays,[1 0 1 0 0],Class has 32 samples (Target 100)
test result month,test issue Month,[1 0 1 0 0],Class has 32 samples (Target 100)
response can only be loaded on a frame within the same site.,response can Only be loaded on a frame Within the Lapplander Site.,[1 0 1 0 0],Class has 32 samples (Target 100)
"test result^dump , str","examine result^dump , str",[1 0 1 0 0],Class has 32 samples (Target 100)
"by default, set the x frame options header to sameorigin , meaning the","by default, set The x frame option header to sameorigin , meaning The",[1 0 1 0 0],Class has 32 samples (Target 100)
your project s django settings to deny .,Your project s django settings To refuse .,[1 0 1 0 0],Class has 32 samples (Target 100)
response can only be loaded on a frame within the same site.,reply can lonesome be Loaded on a framing within the Lapp site.,[1 0 1 0 0],Class has 32 samples (Target 100)
"print %s %s % s, fn eval s","publish %s %s % s, fn Eval s",[1 0 1 0 0],Class has 32 samples (Target 100)
test list result,Test list solution,[1 0 1 0 0],Class has 32 samples (Target 100)
your project s django settings to deny .,your undertaking s django settings to abnegate .,[1 0 1 0 0],Class has 32 samples (Target 100)
we represent an integerarray with 2 numpy arrays,We stage an integerarray with 2 numpy arrays,[1 0 1 0 0],Class has 32 samples (Target 100)
this implements the html interface that some frameworks,this Implements the html port that some model,[1 0 1 0 0],Class has 32 samples (Target 100)
